discarded_date	num	date_evaluated	company	role	score	status	report_path	note
2026-04-23	110	2026-04-22	Reveal Technology	3D Computer Vision Engineer	2.7/5	Evaluated	reports/071-reveal-technology-2026-04-22.md	Remote USA; defense/national-security vendor (Farsight); JD demands SfM/SLAM/multi-view + production C++ on Linux — Deepak has 2D CV (YOLOv8) not classical 3D geometry; posting URL 404s; defense posture implies US citizenship which is incompatible with F-1 OPT; skip
2026-04-23	111	2026-04-22	Anthropic	Research Engineer / Research Scientist, Vision	2.6/5	Evaluated	reports/072-anthropic-vision-2026-04-22.md	Hybrid NYC/SF/Seattle (≥25% in-office); $350-850K band; requires 7+ yrs ML+CV+SWE with VLM training + JAX/TPU — Deepak is 2.5 yrs applied AI; right company wrong role family at his stage; target Applied AI/FDE openings instead
2026-04-23	112	2026-04-22	Writer	AI Product Manager	2.3/5	Evaluated	reports/073-writer-2026-04-22.md	Remote US; 6+ yrs PM + 4+ yrs enterprise SaaS required — Deepak has zero PM track (engineer, not PM); specific posting appears removed (BuiltIn mirror confirms Sept 2025 removal); skip
2026-04-23	113	2026-04-22	Oscilar	AI Product Manager (Risk Orchestration)	2.5/5	Evaluated	reports/074-oscilar-2026-04-22.md	Remote US; senior PM for visual workflow / agentic risk-decisioning platform (fintech); 5+ yrs PM + B2B SaaS required — Deepak is engineer not PM, no fintech exposure; skip; revisit if Oscilar opens AI engineer role
2026-04-23	114	2026-04-22	Ment	AI Product Manager	2.2/5	Evaluated	reports/075-ment-2026-04-22.md	London UK (non-US, F-1 OPT blocker); 4+ yrs PM + 3+ yrs hands-on AI required — Deepak has strong AI/ML but zero PM track; double blocker (archetype + visa); skip
2026-04-23	83	2026-04-22	CoreStory	AI Engineer	2.8/5	Evaluated	reports/083-corestory-2026-04-22.md	7+ years + 3 AI required; experience gap is the blocker; skip
2026-04-23	84	2026-04-22	Remote People	AI Engineer	2.7/5	Evaluated	reports/084-remote-people-2026-04-22.md	Europe-only (Lisbon/EU remote); F-1 OPT structural block; skip
2026-04-23	85	2026-04-22	Caylent	Forward Deployed Engineer	2.3/5	Evaluated	reports/085-caylent-2026-04-22.md	Canada-only; no visa sponsorship; 8+ years + 3+ leadership; skip
2026-04-23	86	2026-04-22	Defense Unicorns	Forward Deployed AI Engineer	1.8/5	Evaluated	reports/086-defense-unicorns-2026-04-22.md	US Citizenship required (DoD); hard statutory block; skip
2026-04-23	89	2026-04-22	Deepgram	Solutions Engineer, Enterprise	2.8/5	Evaluated	reports/089-deepgram-solutions-engineer-2026-04-22.md	SE archetype mismatch (not IC); 50% travel; restaurant vertical; skip
2026-04-23	102	2026-04-22	Rockstar (YC/8VC client)	Founding AI Engineer	2.8/5	Evaluated	reports/102-rockstar-founding-ai-2026-04-22.md	DevOps-for-AI observability startup (Python+TS+Prometheus/OTel); mirrored listing says Israel-remote — F-1 OPT blocker; founding-level seniority stretch at 2.5 yrs
2026-04-23	103	2026-04-22	Hiflylabs	AI Engineer (Europe Remote)	2.6/5	Evaluated	reports/103-hiflylabs-2026-04-22.md	Budapest consultancy; Europe-only contractor (Hungary TZ); 5+ yrs senior floor — F-1 OPT blocker + seniority gap; solid technical archetype match though
2026-04-23	107	2026-04-22	WeAssist.io	Internal AI Engineer	2.5/5	Evaluated	reports/107-weassist-internal-ai-2026-04-22.md	Posting Closed on Breezy; core-skill gap (n8n/Make/Zapier no-code); global-contractor staffing-marketplace model incompatible with F-1 OPT; recruiting-automation niche
2026-04-23	108	2026-04-22	Kindgeek	Trainee/Junior AI Engineer	2.2/5	Evaluated	reports/108-kindgeek-ai-engineer-2026-04-22.md	Posting Closed; Ukraine (Lviv) employer — F-1 OPT blocker; trainee seniority below Deepak's level; comp order-of-magnitude below US floor
2026-04-23	109	2026-04-22	Kindgeek	Trainee/Junior AI Integrator	2.2/5	Evaluated	reports/109-kindgeek-ai-integrator-2026-04-22.md	Sibling to #108; Posting Closed; Ukraine; Zapier/Make/n8n no-code core-skill gap; trainee seniority + F-1 OPT + comp blockers
2026-04-23	64	2026-04-22	Vercel	Software Engineer, Agent	2.9/5	Evaluated	reports/064-vercel-agent-2026-04-22.md	SF/NYC hybrid; $232-348K; agentic production infra; 7+ yrs HARD BLOCKER; skip — revisit if mid/new-grad role opens
2026-04-23	66	2026-04-22	Sierra	Forward Deployed Infrastructure Engineer	2.7/5	Evaluated	reports/066-sierra-fde-infra-2026-04-22.md	SF on-site; $230-390K + equity; DevOps/platform FDE (AWS/Terraform/VPC) — off-archetype for applied-AI Deepak; skip
2026-04-23	70	2026-04-22	Appsilon	AI Engineer	2.8/5	Evaluated	reports/070-appsilon-2026-04-22.md	Remote worldwide BUT Poland employment framework + PLN17-22K/mo (~$50-65K USD); incompatible with F-1 OPT; skip
2026-04-23	54	2026-04-22	Intercom	AI Infrastructure Engineer	2.7/5	Evaluated	reports/054-intercom-2026-04-22.md	Skip — Dublin on-site + CUDA/Triton/Training bar; archetype mismatch
